vuln_group,auto,dist,walk,w,prop
alta,con auto,9602.748975716537,False,1.12721985301036,Trámites
alta,con auto,7783.97901542007,False,1.12721985301036,Visitar a alguien
alta,con auto,1093.3455185125893,False,1.48210391383712,De salud
baja,con auto,10687.525640502869,False,1.48210391383712,Buscar o Dejar a alguien
baja,con auto,5103.503169162947,False,1.48210391383712,Buscar o Dejar a alguien
baja,con auto,1539.6415788768015,False,1.48210391383712,Buscar o Dejar a alguien
baja,con auto,13839.654151573162,False,1.0430735418982884,Buscar o Dejar a alguien
baja,con auto,13839.654151573162,False,1.48210391383712,Buscar o Dejar a alguien
baja,con auto,13839.654151573162,False,1.0430735418982884,Buscar o Dejar a alguien
media,sin auto,303.05544466163695,True,1.48210391383712,Trámites
baja,sin auto,962.1401133183514,False,1.48210391383712,Trámites
baja,sin auto,450.4594453600263,False,1.48210391383712,De salud
baja,sin auto,1808.5181703970381,False,1.48210391383712,De compras
alta,con auto,9709.030503423412,False,1.12721985301036,De compras
media,sin auto,383.74902280005875,True,1.48210391383712,De compras
media,sin auto,283.93000898108676,True,1.48210391383712,De compras
media,sin auto,437.00087600026615,True,1.48210391383712,De compras
media,sin auto,11804.27584093604,False,1.12721985301036,De compras
media,sin auto,12421.416456355795,False,1.12721985301036,De compras
media,sin auto,901.7968656599237,False,1.5058778792911116,De salud
media,sin auto,1836.038654660149,False,1.14387994007037,Trámites
media,sin auto,1321.9714577691343,False,1.14387994007037,De salud
media,sin auto,4587.625245224919,False,1.0,Trámites
media,sin auto,1321.9714577691343,False,1.14387994007037,De salud
alta,sin auto,1498.5336012587647,False,1.48210391383712,De salud
alta,sin auto,508.71967911027633,True,1.48210391383712,De compras
alta,sin auto,2749.935539194794,False,1.0,Visitar a alguien
media,con auto,4711.70697001512,False,1.48210391383712,De salud
baja,con auto,1293.818089995653,False,1.48210391383712,De compras
baja,con auto,1293.818089995653,False,1.48210391383712,De compras
media,sin auto,4515.327818940725,False,0.817907347175127,De salud
media,sin auto,285.99005664533166,True,1.48210391383712,De compras
media,sin auto,813.9636630259133,True,1.48210391383712,De compras
baja,sin auto,14180.355614459711,False,1.0,Visitar a alguien
baja,sin auto,162.6788468933884,True,1.48210391383712,De compras
media,sin auto,12728.028965541218,False,1.0,Recreación
media,sin auto,12929.655293162305,False,1.12721985301036,De compras
baja,sin auto,3116.886917368685,False,1.48210391383712,Trámites
baja,sin auto,797.4116746739102,True,1.48210391383712,De compras
baja,sin auto,11398.137741988889,False,1.12721985301036,Visitar a alguien
baja,sin auto,11155.2050025723,False,1.12721985301036,De salud
media,sin auto,2540.7776991319506,False,1.48210391383712,De compras
